model,feature,prompt_set,seed,lambda_min,rho_star,aun,worst_neg_mass,delta,dir
distilgpt2,residual,balanced,0,-17.403261603320352,0.55,13.561497319498617,2121.430172690787,0.1199789047241211,500
distilgpt2,residual,ood-tech,0,-4.084972840562399e-06,0.30000000000000004,4.2232024394760636e-06,0.0005939182666482917,0.06992906332015991,500
opt-125m,residual,balanced,0,-17.217887660687225,0.55,13.29367798897534,2113.4503446772137,0.12103158235549927,500
opt-125m,residual,balanced,1,-17.147878355271487,0.45,13.016766102851708,2115.7432308959087,0.11773073673248291,500
opt-125m,residual,narrative,0,-8.349209476389535e-06,0.5,7.014238444572571e-06,0.0007512385118503883,0.07724517583847046,500
opt-125m,residual,narrative,1,-9.425046778597958e-06,0.5,7.83196100237399e-06,0.000911178220347468,0.07724517583847046,500
opt-350m,residual,balanced,0,-20.424397727205143,0.5,15.869510475164994,2699.294666527358,0.10290729999542236,542
